Id,Name,Link
1,common term calendar /Academic Calendar,https://calendar.google.com/calendar/u/0?cid=Y18xb2R0a2RldjZrc2xqOGpzMGMyYmJiMnZpb0Bncm91cC5jYWxlbmRhci5nb29nbGUuY29t
2,CT,https://calendar.google.com/calendar/u/5?cid=Y180dW9oY2RscmZxZDAxMGFtYW9tbTAzbHVzb0Bncm91cC5jYWxlbmRhci5nb29nbGUuY29t
3,English I,https://calendar.google.com/calendar/u/5?cid=Y19ydml1dTd2NTVtdTc5bXEwaW0xc21wdGczb0Bncm91cC5jYWxlbmRhci5nb29nbGUuY29t
4,Mathematics I,https://calendar.google.com/calendar/u/5?cid=Y19lMjJnNTM4ZmpmOGxiZWtmbGt2MGNnNzVhZ0Bncm91cC5jYWxlbmRhci5nb29nbGUuY29t
5,Statistics I,https://calendar.google.com/calendar/u/5?cid=Y19wODRtMThyMXBhajhjY2psaGR2dGtqOXNia0Bncm91cC5jYWxlbmRhci5nb29nbGUuY29t
6,Python,https://calendar.google.com/calendar/u/5?cid=Y19tbHUzZnY2ODduaGRzdGo2OGtwa29jcG9sY0Bncm91cC5jYWxlbmRhci5nb29nbGUuY29t
7,English II,https://calendar.google.com/calendar/u/5?cid=Y18zbTNtbjFxdmZzMnBtZjdkcDVjc2s2c2ppb0Bncm91cC5jYWxlbmRhci5nb29nbGUuY29t
8,Mathematics II,https://calendar.google.com/calendar/u/5?cid=Y19oZmRqa2tqZjFlNGxqNzJqYzI2bXYwaTM1NEBncm91cC5jYWxlbmRhci5nb29nbGUuY29t
9,Statistics II,https://calendar.google.com/calendar/u/5?cid=Y180Y2wxN3AxZXRuYTNnYmJlaXZvdjBwNW1rb0Bncm91cC5jYWxlbmRhci5nb29nbGUuY29t
10,DBMS,https://calendar.google.com/calendar/u/5?cid=Y19jdWM0NzNoa3Vka2xldWVjNnN2bDZzNHMxa0Bncm91cC5jYWxlbmRhci5nb29nbGUuY29t
11,PDSA,https://calendar.google.com/calendar/u/5?cid=Y19sODdobDBhZWIwOHY3NzY5bjJiZmI0cHVvb0Bncm91cC5jYWxlbmRhci5nb29nbGUuY29t
